Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
425254,5.84,18.99,1005.29,39.82,66.51,Warning
427274,5.52,18.99,1005.29,39.79,66.51,Warning
429296,4.88,18.99,1005.29,39.79,66.51,Safe
431316,4.43,18.98,1005.29,39.78,66.51,Safe
433336,4.58,18.98,1005.29,39.82,66.52,Safe
435356,4.43,18.98,1005.28,39.80,66.54,Safe
437376,4.28,18.95,1005.24,39.82,66.87,Safe
439396,4.43,18.95,1005.25,39.88,66.85,Safe
441416,4.28,18.95,1005.25,39.88,66.78,Safe
443436,4.14,18.95,1005.25,39.92,66.80,Safe
445456,3.99,18.95,1005.26,39.92,66.77,Safe
447476,4.14,18.95,1005.26,39.91,66.77,Safe
449518,3.99,18.95,1005.26,39.91,66.77,Safe
451538,4.14,18.95,1005.25,39.83,66.78,Safe
453560,3.85,18.94,1005.26,39.83,66.76,Safe
455580,3.85,18.94,1005.26,39.82,66.75,Safe
457600,3.85,18.94,1005.26,39.81,66.75,Safe
459620,3.85,18.94,1005.26,39.88,66.75,Safe
461640,4.28,18.93,1005.26,39.95,66.74,Safe
463660,5.52,18.93,1005.26,39.94,66.73,Warning
465680,5.52,18.93,1005.26,39.95,66.76,Warning
467700,5.20,18.93,1005.26,39.93,66.78,Warning
469720,5.20,18.92,1005.25,39.90,66.83,Warning
471740,5.04,18.92,1005.25,39.90,66.84,Warning
473760,4.73,18.92,1005.25,39.93,66.84,Safe
475782,4.73,18.91,1005.25,39.94,66.85,Safe
477802,4.73,18.91,1005.25,39.91,66.83,Safe
479822,4.58,18.91,1005.25,39.90,66.85,Safe
481842,4.43,18.90,1005.25,39.88,66.85,Safe
483862,4.58,18.90,1005.25,39.91,66.85,Safe
485882,4.43,18.89,1005.24,39.96,66.86,Safe
487902,4.43,18.89,1005.25,39.99,66.79,Safe
489922,4.28,18.89,1005.25,39.99,66.79,Safe
491942,4.14,18.89,1005.25,40.00,66.81,Safe
493962,4.14,18.87,1005.22,39.97,67.07,Safe
495982,4.58,18.87,1005.23,39.98,66.99,Safe
498002,4.73,18.87,1005.24,39.91,66.88,Safe
500024,4.43,18.87,1005.24,39.85,66.87,Safe
502044,4.28,18.87,1005.25,39.81,66.85,Safe
504064,4.28,18.87,1005.25,39.80,66.81,Safe
506084,4.28,18.87,1005.26,39.80,66.75,Safe
508104,4.14,18.87,1005.26,39.86,66.74,Safe
510124,3.99,18.87,1005.26,39.91,66.70,Safe
512144,4.43,18.87,1005.27,39.96,66.63,Safe
514164,5.35,18.86,1005.27,40.01,66.64,Warning
516184,5.35,18.86,1005.27,39.96,66.62,Warning
518204,4.73,18.86,1005.28,39.92,66.61,Safe
520224,4.73,18.86,1005.27,39.95,66.63,Safe
522246,4.28,18.85,1005.27,39.98,66.64,Safe
524266,4.58,18.85,1005.27,39.99,66.63,Safe
526286,4.88,18.85,1005.27,40.02,66.66,Safe
528306,4.28,18.84,1005.27,40.04,66.64,Safe
530326,4.73,18.84,1005.28,40.03,66.60,Safe
532346,5.20,18.84,1005.28,40.04,66.60,Warning
534366,5.20,18.84,1005.28,40.02,66.61,Warning
536386,5.35,18.83,1005.27,40.03,66.67,Warning
538406,5.20,18.83,1005.27,40.05,66.66,Warning
